OC_ANO,OC_MES,OC_DIA_SEMANA,OC_DIA_SEMANA_TXT,OC_DIA,OC_PERIODO_DIA,OC_PERIODO_DIA_TXT,OC_BAIRRO,OC_BAIRRO_TXT,OC_SUBCATEGORIA,OC_SUBCATEGORIA_TXT
2017,10,1,1-DOMINGO,29,2,2-TARDE,23,SÃO FRANCISCO,8,Desordem
2020,11,4,4-QUARTA,25,1,1-MANHA,5,CENTRO,10,Estacionamento irregular
2015,5,2,2-SEGUNDA,4,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2016,3,3,3-TERCA,29,2,2-TARDE,25,SÍTIO CERCADO,1,Transporte Coletivo
2015,2,7,7-SABADO,28,3,3-NOITE,41,BACACHERI,8,Desordem
2019,5,2,2-SEGUNDA,20,3,3-NOITE,9,CIDADE INDUSTRIAL,7,Invasão de equipamento/patrimônio público
2020,6,1,1-DOMINGO,7,2,2-TARDE,59,PRADO VELHO,5,Vandalismo
2020,12,6,6-SEXTA,4,2,2-TARDE,56,TINGUI,10,Estacionamento irregular
2020,9,7,7-SABADO,5,1,1-MANHA,33,HAUER,9,Uso de substância ilícita
2016,1,1,1-DOMINGO,24,3,3-NOITE,54,BARREIRINHA,5,Vandalismo
2020,10,3,3-TERCA,6,1,1-MANHA,9,CIDADE INDUSTRIAL,10,Estacionamento irregular
2015,9,4,4-QUARTA,9,4,4-MADRUGADA,32,BATEL,1,Transporte Coletivo
2016,2,7,7-SABADO,27,4,4-MADRUGADA,7,REBOUÇAS,4,Pichação
2020,9,4,4-QUARTA,9,3,3-NOITE,19,BOQUEIRÃO,10,Estacionamento irregular
2018,2,3,3-TERCA,6,2,2-TARDE,45,ÁGUA VERDE,1,Transporte Coletivo
2016,1,5,5-QUINTA,21,2,2-TARDE,53,GUAÍRA,1,Transporte Coletivo
2015,6,7,7-SABADO,20,3,3-NOITE,36,BAIRRO ALTO,1,Transporte Coletivo
2019,7,2,2-SEGUNDA,29,3,3-NOITE,33,HAUER,8,Desordem
2020,4,4,4-QUARTA,8,2,2-TARDE,9,CIDADE INDUSTRIAL,10,Estacionamento irregular
2018,8,1,1-DOMINGO,26,1,1-MANHA,39,CAMPO DE SANTANA,6,Arrombamento
2019,9,4,4-QUARTA,4,2,2-TARDE,58,MERCÊS,5,Vandalismo
2015,5,2,2-SEGUNDA,18,4,4-MADRUGADA,28,PORTÃO,5,Vandalismo
2017,5,4,4-QUARTA,3,4,4-MADRUGADA,19,BOQUEIRÃO,1,Transporte Coletivo
2016,8,5,5-QUINTA,4,3,3-NOITE,45,ÁGUA VERDE,5,Vandalismo
2020,10,4,4-QUARTA,21,2,2-TARDE,31,UBERABA,7,Invasão de equipamento/patrimônio público
2019,7,2,2-SEGUNDA,22,3,3-NOITE,18,NOVO MUNDO,9,Uso de substância ilícita
2016,4,3,3-TERCA,26,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2015,2,1,1-DOMINGO,1,2,2-TARDE,8,FAZENDINHA,7,Invasão de equipamento/patrimônio público
2016,9,4,4-QUARTA,14,3,3-NOITE,1,XAXIM,1,Transporte Coletivo
2019,4,6,6-SEXTA,26,3,3-NOITE,5,CENTRO,8,Desordem
2015,6,6,6-SEXTA,26,4,4-MADRUGADA,23,SÃO FRANCISCO,5,Vandalismo
2017,5,5,5-QUINTA,25,1,1-MANHA,19,BOQUEIRÃO,9,Uso de substância ilícita
2020,5,1,1-DOMINGO,24,2,2-TARDE,38,BOA VISTA,10,Estacionamento irregular
2020,5,6,6-SEXTA,1,2,2-TARDE,62,JARDIM DAS AMÉRICAS,1,Transporte Coletivo
2016,11,7,7-SABADO,12,2,2-TARDE,42,ATUBA,7,Invasão de equipamento/patrimônio público
2016,10,4,4-QUARTA,12,3,3-NOITE,9,CIDADE INDUSTRIAL,3,Disparo de Alarme (violação)
2016,5,5,5-QUINTA,19,2,2-TARDE,25,SÍTIO CERCADO,9,Uso de substância ilícita
2019,5,2,2-SEGUNDA,20,2,2-TARDE,17,GUABIROTUBA,9,Uso de substância ilícita
2017,3,2,2-SEGUNDA,13,4,4-MADRUGADA,5,CENTRO,8,Desordem
2015,5,6,6-SEXTA,22,2,2-TARDE,7,REBOUÇAS,1,Transporte Coletivo
2020,6,2,2-SEGUNDA,22,3,3-NOITE,9,CIDADE INDUSTRIAL,10,Estacionamento irregular
2017,4,3,3-TERCA,18,2,2-TARDE,9,CIDADE INDUSTRIAL,9,Uso de substância ilícita
2020,6,7,7-SABADO,27,3,3-NOITE,15,CAPÃO RASO,10,Estacionamento irregular
2020,3,2,2-SEGUNDA,30,2,2-TARDE,5,CENTRO,9,Uso de substância ilícita
2016,2,7,7-SABADO,27,2,2-TARDE,33,HAUER,5,Vandalismo
2019,9,3,3-TERCA,10,2,2-TARDE,19,BOQUEIRÃO,9,Uso de substância ilícita
2020,4,4,4-QUARTA,29,2,2-TARDE,48,PILARZINHO,10,Estacionamento irregular
2020,12,2,2-SEGUNDA,14,1,1-MANHA,40,JARDIM BOTÂNICO,8,Desordem
2020,4,4,4-QUARTA,1,1,1-MANHA,44,AUGUSTA,5,Vandalismo
