OC_ANO,OC_MES,OC_DIA_SEMANA,OC_DIA,OC_PERIODO_DIA,OC_BAIRRO,OC_SUBCATEGORIA
2017,4,7,8,2,5,9
2019,6,7,15,2,9,7
2017,8,6,11,3,30,3
2015,5,7,16,1,31,5
2016,9,5,1,3,5,4
2018,12,4,26,2,23,9
2020,10,1,18,2,39,7
2015,10,2,5,3,50,8
2019,7,1,14,1,8,8
2018,12,4,26,3,6,7
2016,12,4,7,4,41,8
2017,5,5,11,1,9,1
2019,5,5,2,2,18,10
2016,6,7,25,4,19,5
2018,9,3,4,1,23,10
2019,5,1,5,2,5,5
2019,12,1,1,3,58,8
2019,2,6,1,2,45,9
2020,2,5,6,4,18,7
2020,9,2,28,3,9,9
2015,9,7,5,1,3,1
2020,5,5,21,2,19,10
2020,3,6,13,3,8,10
2019,10,4,2,1,9,7
2020,11,1,8,1,5,9
2018,11,3,27,3,42,7
2015,8,5,13,2,28,4
2020,4,7,18,1,60,10
2016,1,6,15,3,39,3
2016,7,3,26,3,22,4
2018,1,4,3,2,4,5
2019,1,7,19,4,32,10
2015,3,5,5,1,9,1
2019,5,4,29,4,8,6
2020,8,1,16,3,23,4
2015,9,5,24,2,30,8
2020,3,2,2,4,5,1
2017,5,3,16,2,17,9
2019,1,1,27,2,50,4
2015,10,2,26,4,9,3
2018,10,1,21,3,13,7
2015,6,7,20,1,23,9
2015,5,4,27,3,7,1
2018,7,2,16,2,25,6
2015,7,2,27,3,6,7
2016,9,5,15,1,50,1
2020,2,7,1,1,54,7
2018,8,1,26,4,20,8
2019,6,2,24,3,55,4
2015,6,4,24,3,5,4
2016,8,2,29,1,4,5
2020,10,7,24,3,36,10
2020,11,7,28,4,9,6
2017,3,5,23,3,25,9
2015,2,1,15,4,7,5
2019,1,6,25,4,31,5
2015,9,1,20,4,28,5
2015,6,5,4,3,18,5
2015,12,1,20,2,38,4
2019,11,7,23,1,6,10
2018,1,1,21,1,2,4
2016,7,6,1,3,38,1
2015,7,4,1,1,25,9
2016,9,3,20,2,5,1
2019,6,1,9,3,45,1
2020,10,4,7,3,1,10
2020,10,1,25,3,17,5
2020,2,6,7,2,45,8
2020,2,2,10,1,55,6
2020,7,1,5,2,30,7
2019,7,7,13,2,61,10
2019,6,1,30,1,23,10
2018,1,1,28,4,25,1
2016,1,4,13,3,4,5
2020,7,6,17,2,9,10
2020,7,7,11,2,19,10
2017,7,6,7,2,7,1
2020,5,6,1,1,45,10
2016,4,2,4,2,28,9
2018,11,3,6,3,26,10
2018,4,7,7,3,4,6
2015,10,3,20,1,3,2
2020,6,3,16,3,35,10
2019,3,7,16,1,12,6
2020,3,3,10,3,28,10
2016,12,7,10,1,5,1
2020,11,6,13,3,23,9
2020,10,3,13,2,12,9
2018,8,6,17,3,39,5
2019,10,3,22,2,64,9
2019,10,3,15,1,12,9
2017,3,7,4,3,25,7
2018,9,6,21,3,13,10
2015,12,4,30,1,19,1
2016,4,4,27,4,45,5
2016,8,4,3,1,5,1
2019,5,1,26,2,5,5
2015,7,6,31,4,9,6
2018,7,2,30,2,13,5
2020,10,2,12,4,8,10
2015,11,1,15,2,19,5
2015,12,1,20,3,4,5
2020,8,2,17,2,41,10
2020,5,3,19,2,7,10
2015,9,5,24,2,5,9
2020,3,2,9,3,48,10
2018,11,4,14,3,25,10
2020,6,6,12,2,39,6
2020,11,3,10,1,23,5
2018,6,2,4,2,64,10
2015,3,1,15,4,4,4
2020,12,4,9,3,38,10
2020,9,1,6,3,25,10
2018,12,2,17,3,38,7
2015,9,4,16,2,12,9
2017,9,6,22,2,15,1
2018,6,6,15,1,7,5
2017,5,5,25,4,30,5
2018,11,2,12,3,25,8
2020,9,7,19,1,6,10
2016,6,7,25,1,5,9
2015,3,4,4,2,3,1
2020,9,5,3,1,2,9
2015,11,1,22,1,8,3
2020,12,3,8,3,42,6
2020,5,5,21,3,11,4
2017,8,7,19,2,12,7
2018,7,6,13,2,20,9
2018,10,3,16,3,13,1
2020,9,7,19,2,47,10
2018,11,2,12,1,25,1
2018,12,1,9,3,9,3
2019,7,7,13,3,30,8
2019,8,1,25,2,26,7
2015,7,5,16,4,8,6
2015,3,7,14,4,23,4
2015,9,2,28,2,5,4
2018,12,7,8,3,9,10
2020,1,7,4,1,5,10
2015,6,6,26,2,1,1
2018,1,2,22,3,40,5
2016,5,6,13,1,5,4
2017,4,7,8,3,25,6
2017,12,1,10,2,2,5
2019,10,1,27,1,19,5
2020,9,3,15,1,26,7
2020,7,3,14,2,54,4
2019,7,2,15,3,7,1
2018,7,1,1,3,12,1
2016,11,7,26,4,5,4
2020,6,2,8,2,9,10
2015,1,5,29,3,28,7
2019,4,7,13,1,5,9
2020,8,7,15,1,18,10
2017,3,4,15,3,50,5
2019,12,3,10,1,19,8
2015,9,3,29,1,31,4
2015,5,1,3,4,5,8
2017,8,4,16,3,25,6
2016,10,4,12,2,36,4
2020,9,3,22,1,58,4
2019,10,4,16,2,64,9
2020,10,5,1,3,9,1
2017,2,6,24,4,23,7
2016,1,1,31,2,1,6
2018,9,4,12,2,12,9
2019,7,5,11,2,5,9
2016,8,6,5,3,12,7
2015,1,7,10,1,35,4
2016,12,1,25,3,17,4
2015,10,7,17,3,14,6
2020,10,3,27,1,55,10
2018,12,2,10,3,18,10
2017,10,1,29,2,11,5
2018,9,7,8,3,4,3
2015,6,3,2,1,9,4
2019,1,5,24,3,30,7
2019,4,4,10,2,31,10
2016,6,3,7,1,4,9
2015,5,6,15,3,28,3
2020,6,4,17,2,6,10
2018,3,4,21,1,20,9
2019,3,6,29,3,32,4
2020,12,6,18,3,19,10
2017,4,7,22,2,39,6
2016,1,2,18,4,30,4
2020,10,6,16,3,60,10
2020,3,6,6,3,9,10
2015,10,3,20,4,67,3
2018,12,7,8,2,23,9
2020,10,3,13,1,23,9
2017,7,6,14,4,19,7
2019,5,5,30,4,5,6
2020,5,2,18,2,23,9
2015,5,2,4,1,5,9
2016,1,6,1,1,30,6
2016,4,2,18,1,13,8
